Laptop Name,Specifications,Price
Lenovo ThinkPad E15 Intel Core i5 11th Gen 1135G7 - (8 GB/512 GB SSD/Windows 10 Home) E15 Laptop,"Intel Core i5 Processor (11th Gen)
8 GB DDR4 RAM
64 bit Windows 10 Operating System
512 GB SSD
39.62 cm (15.6 inch) Display
Microsoft Office Home & Student 2019
1 Year Onsite Warranty","₹68,999"
Lenovo ThinkPad E15 Intel Core i5 11th Gen 1135G7 - (8 GB/512 GB SSD/Windows 10 Home) E15 Thin and Lig...,"Intel Core i5 Processor (11th Gen)
8 GB DDR4 RAM
64 bit Windows 10 Operating System
512 GB SSD
39.62 cm (15.6 Inch) Display
Microsoft Office Home & Student 2019
1 Year Onsite Warranty","₹69,000"
Lenovo ThinkPad E14 Intel Intel Core i5 12th Gen 1235U - (16 GB/1 TB SSD/Windows 11 Home) TP E14 Gen 4...,"Intel Core i5 Processor (12th Gen)
16 GB DDR4 RAM
Windows 11 Operating System
1 TB SSD
35.56 cm (14 Inch) Display
1 Year Onsite Warranty","₹70,500"
Lenovo ThinkPad E14 Intel Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Windows 11 Home) TP E14 Gen ...,"Intel Core i3 Processor (12th Gen)
8 GB DDR4 RAM
Windows 11 Operating System
512 GB SSD
35.56 cm (14 Inch) Display
1 Year Onsite Warranty","₹47,099"
Lenovo ThinkPad E14 Intel Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Home) TP E14 Gen ...,"Intel Core i5 Processor (12th Gen)
8 GB DDR4 RAM
64 bit Windows 11 Operating System
512 GB SSD
35.56 cm (14 Inch) Display
Windows 11 Home Single Language 64, MS Office H&S 2021
1 Year Onsite Warranty","₹69,299"
Lenovo ThinkPad E14 AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) TP E14 Gen 5 Thin ...,"AMD Ryzen 5 Hexa Core Processor
8 GB DDR4 RAM
Windows 11 Operating System
512 GB SSD
35.56 cm (14 Inch) Display
1 Year Onsite Warranty","₹43,990"
Lenovo ThinkPad E14 Intel Core i5 12th Gen 1235U - (16 GB/512 GB SSD/Windows 11 Pro) TP E14 Gen 4 Thin...,"Intel Core i5 Processor (12th Gen)
16 GB DDR4 RAM
Windows 11 Operating System
512 GB SSD
35.56 cm (14 Inch) Display
1 Year Onsite Warranty","₹67,500"
Lenovo ThinkPad E14 AMD Ryzen 5 Hexa Core 7530U - (8 GB/512 GB SSD/Windows 11 Home) TP E14 Gen 5 Thin ...,"AMD Ryzen 5 Hexa Core Processor
8 GB DDR4 RAM
Windows 11 Operating System
512 GB SSD
35.56 cm (14 Inch) Display
1 Year Onsite Warranty","₹46,990"
Lenovo ThinkPad E14 AMD Ryzen 5 Hexa Core 5600U - (8 GB/512 GB SSD/Windows 11 Home) E14 AMD Gen3 Busin...,"AMD Ryzen 5 Hexa Core Processor
8 GB DDR4 RAM
64 bit Windows 11 Operating System
512 GB SSD
35.56 cm (14 inch) Display
1 Year Onsite Warranty","₹50,000"
Lenovo ThinkPad E14 Intel Core i7 12th Gen 1255U - (16 GB/1 TB SSD/Windows 11 Home) TP E14 Gen 4 Thin ...,"Intel Core i7 Processor (12th Gen)
16 GB DDR4 RAM
Windows 11 Operating System
1 TB SSD
35.56 cm (14 Inch) Display
1 Year Onsite Warranty","₹91,000"
Lenovo Thinkpad E14 G5 Intel Core i5 13th Gen 1335U with 3 year Warranty - (16 GB/512 GB SSD/Windows 1...,"Intel Core i5 Processor (13th Gen)
16 GB DDR4 RAM
64 bit Windows 11 Operating System
512 GB SSD
35.56 cm (14 inch) Display
MS OFFICE
3 year Onsite Warranty","₹68,990"
Lenovo Thinkpad E14 G5 Intel Core i5 13th Gen 1335U with 3 year Warranty - (16 GB/512 GB SSD/Windows 1...,,"₹68,900"
Lenovo Thinkpad E series Intel Core i3 11th Gen 1115G4 - (8 GB/512 GB SSD/DOS) TPE14G2 Business Laptop,,"₹48,999"
Lenovo Thinkpad E series Intel Core i5 11th Gen 1135G7 - (16 GB/512 GB SSD/Windows 11 Pro) TPE14G2 Bus...,"Intel Core i5 Processor (11th Gen)
16 GB DDR4 RAM
Windows 11 Operating System
512 GB SSD
35.56 cm (14 inch) Display
3 Years Domestic Warranty","₹67,099"
Lenovo THINKPAD E14 GEN 5 - AMD Ryzen 5 7th Gen - 7430U Processor [Base Clock 2.3 GHz / Max Boost Cloc...,,"₹50,400"
Lenovo Thinkpad E series Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/Windows 11 Pro) TPE14G4 Busin...,,"₹64,999"
Lenovo Thinkpad E series Intel Core i7 12th Gen 1255U - (16 GB/512 GB SSD/Windows 11 Pro) TPE14G4 Busi...,,"₹91,000"
Lenovo Thinkpad E series Intel Core i5 12th Gen 1235U - (8 GB/512 GB SSD/DOS) TPE14G4 Business Laptop,,"₹63,999"
Lenovo ThinkPad E15 Intel Intel Core i5 11th Gen 1135G7 - (8 GB/512 GB SSD/Windows 10 Home) E15 Laptop,"Intel Core i5 Processor (11th Gen)
8 GB DDR4 RAM
64 bit Windows 10 Operating System
512 GB SSD
39.62 cm (15.6 inch) Display
Microsoft Office Home & Student 2019
1 Year Onsite Warranty","₹69,900"
Lenovo Intel Core i5 13th Gen - (16 GB/512 GB SSD/Windows 11 Pro) E14 Business Laptop,,"₹69,990"
Lenovo Intel Core i7 8th Gen 8665U - (16 GB/512 GB SSD/Windows 10 Pro/2 GB Graphics) Thinkpad P43s Thi...,,"₹2,44,801"
